County Name,State,Cases,Deaths,CasesPerCap,DeathsPerCap,TotalPop,IncomePerCap,Poverty,Unemployment
prairie county,arkansas,2418,46,0.2910097484655193,0.005536165603562402,8309,22653,16.8,7.6
pulaski county,arkansas,128164,1325,0.3262432289333279,0.0033728057671160347,392848,29855,17.3,5.9
randolph county,arkansas,6466,107,0.3691903619961174,0.006109398195729131,17514,20932,20.9,3.5
st. francis county,arkansas,8569,112,0.3210806354916067,0.004196642685851319,26688,16518,27.5,10.0
saline county,arkansas,37232,396,0.3202697587998486,0.0034063930082923305,116252,28410,8.0,4.3
scott county,arkansas,2863,49,0.2705026455026455,0.004629629629629629,10584,18077,20.5,10.6
searcy county,arkansas,2575,53,0.3249211356466877,0.006687697160883281,7925,21475,17.4,3.6
sebastian county,arkansas,39367,589,0.3090953345581885,0.004624613306951838,127362,23916,22.5,5.6
sevier county,arkansas,7125,84,0.41409973265140065,0.004882017900732303,17206,18388,21.2,6.6
sharp county,arkansas,5718,123,0.33554368875066015,0.007217886274279679,17041,20078,23.3,6.7
stone county,arkansas,3711,80,0.29823997428272925,0.006429317688660291,12443,19881,24.2,8.3
union county,arkansas,11312,207,0.28264454549997503,0.005172155314576983,40022,23463,20.1,8.3
van buren county,arkansas,4348,67,0.2595665930392215,0.0039997612082860725,16751,20568,19.6,8.3
washington county,arkansas,81088,712,0.36251302065870006,0.003183076049588033,223683,26371,18.0,4.9
white county,arkansas,27147,342,0.34491652478845325,0.004345284984626331,78706,23120,16.6,6.2
woodruff county,arkansas,2276,33,0.3365370397752477,0.004879491349992607,6763,19987,26.0,10.1
yell county,arkansas,7599,118,0.35178926901532337,0.005462710059719458,21601,20209,17.8,6.3
alameda county,california,389331,2172,0.23890980384937546,0.0013328301469979105,1629615,41363,11.3,6.0
alpine county,california,139,0,0.11554447215295095,0.0,1203,27448,19.8,14.6
amador county,california,10716,100,0.2872460194070659,0.002680533962365303,37306,29628,10.6,9.3
butte county,california,42213,503,0.18744088771663403,0.0022335007348794665,225207,26304,20.5,9.1
calaveras county,california,9142,144,0.2028985507246377,0.003195951794393768,45057,31652,12.8,7.1
colusa county,california,4043,24,0.1882303645421109,0.0011173704548628892,21479,25676,14.0,5.9
contra costa county,california,279336,1604,0.24859078846431096,0.001427455196239492,1123678,42898,9.8,6.9
del norte county,california,8005,62,0.29170614386706506,0.0022593105458785802,27442,20809,23.2,9.5
el dorado county,california,35164,248,0.1900602653838878,0.0013404318568764695,185015,38156,9.8,8.1
fresno county,california,299234,3031,0.30797557882949644,0.0031195451701083554,971616,22234,25.4,10.4
glenn county,california,5877,56,0.21038124216932164,0.0020046536602827993,27935,21029,19.6,9.2
humboldt county,california,23775,172,0.17547420473835706,0.0012694663812827516,135490,25208,20.8,8.9
imperial county,california,72119,987,0.4007568474691176,0.005484643553737838,179957,17303,23.8,16.0
inyo county,california,4837,63,0.2658422643583402,0.0034624896949711458,18195,30323,10.2,5.2
kern county,california,232982,2502,0.2651306865253134,0.0028472456141948052,878744,21716,22.6,10.9
kings county,california,63548,487,0.42313710606393534,0.0032427105597837304,150183,19835,20.9,9.7
lake county,california,13861,165,0.2162571183399641,0.0025743037678446056,64095,23345,22.8,11.2
lassen county,california,10315,65,0.32777248172863044,0.002065459167461074,31470,20974,14.6,7.5
los angeles county,california,3534088,36317,0.34971157924193835,0.0035937066149256828,10105722,30798,17.0,7.8
madera county,california,47006,377,0.30436415436415437,0.002441077441077441,154440,19975,22.1,8.3
marin county,california,42037,260,0.1611761638562347,0.0009968790018940702,260814,66748,8.1,4.5
mariposa county,california,3403,32,0.1927171820138181,0.0018122097632800997,17658,28241,15.1,10.0
mendocino county,california,17092,146,0.1953438403602409,0.001668628638696184,87497,27093,19.1,10.4
merced county,california,78697,904,0.2943154194248102,0.003380829499981301,267390,20120,23.3,14.6
modoc county,california,987,11,0.10945990906066319,0.0012199179327936121,9017,22052,18.1,7.5
mono county,california,3355,8,0.23865414710485133,0.0005690709916062028,14058,30888,9.9,3.6
monterey county,california,99107,817,0.22879575591918147,0.0018861042366933845,433168,27168,14.7,6.0
napa county,california,35205,182,0.24967199744689905,0.0012907343711215913,141005,40632,8.2,5.4
nevada county,california,20521,139,0.20762257431352313,0.0014063416904429471,98838,35581,12.1,7.3
orange county,california,726307,8235,0.2301487158947163,0.0026094677256215193,3155816,37603,12.1,5.8
placer county,california,82823,687,0.22087016814005894,0.0018320732829313173,374985,39734,8.2,5.6
plumas county,california,3872,15,0.20679342020935698,0.0008011108737449263,18724,32056,13.3,9.4
riverside county,california,742131,6863,0.3151296686796869,0.002914222578154923,2355002,25700,15.6,9.9
sacramento county,california,379292,3627,0.25363916009094556,0.0024254380098970175,1495400,29693,16.7,8.8
san benito county,california,17905,117,0.3051763222034736,0.0019941708851050773,58671,30012,9.7,8.8
san bernardino county,california,717634,8144,0.33831191484145917,0.0038393000254570483,2121220,22867,18.2,9.9
san diego county,california,991624,5900,0.30198695664752645,0.001796772813304646,3283665,34350,13.3,7.1
san joaquin county,california,213760,2463,0.2951862382673275,0.003401214936622509,724153,24694,17.1,10.1
san luis obispo county,california,67347,586,0.2404228203013719,0.002091968056433159,280119,33972,13.8,4.8
san mateo county,california,187553,747,0.24566507302377366,0.0009784530748575546,763450,53516,7.3,4.7
santa barbara county,california,113829,777,0.25695265871475137,0.001753966175766824,442996,32872,15.4,6.6
santa clara county,california,488335,2844,0.25550876767059466,0.001488050078849911,1911226,48689,8.6,5.7
